USER_ID,CREATED_AT,SEGMENT,IS_INTERNAL
qqqqqpaURaeiozJI0UzG6g==,2022-11-01T21:39:33.463Z,PERSONAL,false
qqqqqjNUTKaQ5QTDWqE/VQ==,2021-11-15T13:03:49.367Z,PERSONAL,false
qqqqqgTLTuG9c4Pti/T3qQ==,2022-11-13T21:12:43.449Z,PERSONAL,false
qqqqqjCcTFS9GRuZO/Ua1Q==,2022-12-01T10:21:33.056Z,PERSONAL,false
qqqqqprURxmOVQKhrepwgg==,2023-01-09T16:34:55.324Z,PERSONAL,false
qqqqqofpRGiJtDcHeAoFtw==,2022-12-01T06:48:49.152Z,PERSONAL,false
qqqqqpgyTnK8mcObbgbvzw==,2023-01-10T00:14:04.348Z,PERSONAL,false
qqqqqmjIRzug43XOwyh3Yw==,2022-02-26T15:41:26.241Z,PERSONAL,false
qqqqqqKuTlqto+T4+hYSwg==,2022-09-28T19:53:19.066Z,PERSONAL,false
qqqqqr1YTymP6OuDG5wEVQ==,2022-06-27T16:51:10.294Z,PERSONAL,false
qqqqqi5QR9W8QmboV2e3vQ==,2023-01-24T15:22:06.08Z,PERSONAL,false
qqqqqr2oTruv+B3AyBc8jg==,2022-09-01T19:57:19.139Z,PERSONAL,false
qqqqqvKCSsO0SAxZcWggXw==,2022-10-07T07:04:07.935Z,PERSONAL,false
qqqqqiaFREOuZPKKx97uaA==,2023-01-16T08:22:21.562Z,PERSONAL,false
qqqqqnUYRm+juUDJQbrsnw==,2023-01-24T12:02:55.419Z,PERSONAL,false
qqqqqiR5RPaDNglk1USPVQ==,2022-12-07T19:27:50.265Z,ENTERPRISE,false
qqqqqizXS+KKUoUwI2l2GA==,2022-08-11T18:12:24.135Z,PERSONAL,false
qqqqqqiLRyua+Km9oDCOyQ==,,PERSONAL,false
qqqqqsLlTq2lwlDnVqnQVQ==,2023-01-22T14:02:51.171Z,ENTERPRISE,false
qqqqqiVyQPC/65O14m+lyA==,2023-01-23T15:15:15.564Z,PERSONAL,false
qqqqqpkASy6PoUyeclrP7g==,2021-11-15T13:04:01.947Z,PERSONAL,false
qqqqqiGCQjmFqDKQaIK6eg==,2023-01-19T08:22:44.479Z,PERSONAL,false
qqqqqieAS0qn6+3eUstL9w==,2022-07-11T06:17:39.199Z,ENTERPRISE,false
qqqqqu+SRGqw8A8HjxMYcA==,2022-06-22T13:07:42.851Z,PERSONAL,false
qqqqqubxTBiBv5A5NEPYzg==,2022-12-24T23:35:48.598Z,PERSONAL,false
qqqqqnFlSMy/nBHhqQiFeQ==,2022-10-20T12:43:44.891Z,PERSONAL,false
qqqqqjK3RlSgo8aZL8LicA==,2022-10-24T09:45:32.684Z,PERSONAL,false
qqqqqkmGSYOmfZj8xOA2HQ==,2022-05-17T14:44:44.311Z,ENTERPRISE,false
qqqqqtsLTLq2JTCwfb542w==,2022-12-25T21:01:25.169Z,PERSONAL,false
qqqqqgSHTL2LBaSEUpCd/Q==,2022-03-23T16:34:36.798Z,PERSONAL,false
qqqqqhtqSa29VOLy9Ar5Vw==,2021-10-25T20:10:50.706Z,ENTERPRISE,false
qqqqqiAPTT+8G77Lg5EDPw==,2022-06-06T10:08:41.687Z,ENTERPRISE,false
qqqqqqXoQC2yMmoz2GfxwA==,2023-01-10T16:42:57.905Z,PERSONAL,false
qqqqqkqkRSWLZ3DRNWrYLQ==,2022-06-17T06:10:43.195Z,PERSONAL,false
